id,hopital,pays,region,type_dechet,poids_kg,cout_traitement,niveau_risque,mode_elimination,date_collecte,distance_traitement_km,conformite,type_conteneur,incident,entreprise_transport,service_origine
644,Hopital_9,Côte d'Ivoire,Ouest,Radioactifs,249.63,58507.06,Élevé,Incinération,2024-10-23,83.42,Oui,Sac rouge,Non,CleanMed,Radiologie
675,Hopital_31,Gabon,Ouest,Piqûres/Coupures,37.38,4254.87,Élevé,Autoclave,2023-07-10,211.81,Oui,Fût,Oui,BioLogistics,Soins Intensifs
93,Hopital_45,Cameroun,Ouest,Infectieux,401.52,82917.46,Élevé,Incinération,2024-06-07,226.13,En attente,Sac jaune,Non,CleanMed,Chirurgie
37,Hopital_44,Sénégal,Adamaoua,Chimiques,47.4,5165.59,Moyen,Désinfection chimique,2024-10-16,66.97,En attente,Fût,Non,Hopital Service,Maintenance
656,Hopital_27,Bénin,Nord,Piqûres/Coupures,45.21,9463.76,Élevé,Incinération,2024-12-28,5.79,Oui,Sac jaune,Non,CleanMed,Urgences
487,Hopital_22,RDC,Nord,Organiques,138.42,2744.96,Faible,Enfouissement,2023-04-06,120.43,,Sac rouge,Non,Hopital Service,Restauration
375,Hopital_23,Côte d'Ivoire,Adamaoua,Chimiques,222.25,20574.25,Moyen,Désinfection chimique,2024-04-15,7.68,En attente,Conteneur rigide,Non,Hopital Service,Maintenance
247,Hopital_16,Sénégal,Ouest,Piqûres/Coupures,445.24,99148.02,Élevé,Incinération,2023-08-21,225.45,En attente,Conteneur rigide,Non,BioLogistics,Chirurgie
517,Hopital_1,Togo,Littoral,Infectieux,303.28,35707.42,Élevé,Autoclave,2024-03-15,8.86,Non,Sac jaune,Non,CleanMed,Maladies Infectieuses
48,Hopital_50,Sénégal,Sud,Pharmaceutiques,135.64,18857.58,Moyen,Incinération,2023-05-10,207.96,En attente,Conteneur rigide,Non,Hopital Service,Pharmacie
591,Hopital_12,Sénégal,Est,Piqûres/Coupures,397.31,90087.45,Élevé,Incinération,2023-11-02,46.03,Partielle,Fût,Non,SafeWaste,Soins Intensifs
574,Hopital_10,Togo,Extrême-Nord,Radioactifs,312.08,71815.32,Élevé,Incinération,2023-02-19,160.33,En attente,Conteneur rigide,Non,SafeWaste,Oncologie
539,Hopital_3,RDC,Sud,Piqûres/Coupures,478.0,106816.42,Élevé,Incinération,2024-07-11,30.92,Partielle,Conteneur rigide,Non,EcoTrans,Chirurgie
212,Hopital_49,Côte d'Ivoire,Extrême-Nord,Chimiques,457.63,41808.53,Moyen,Désinfection chimique,2023-05-25,204.56,Non,Sac jaune,Non,SafeWaste,Laboratoire
235,Hopital_38,Togo,Sud,Pharmaceutiques,209.46,29526.76,Moyen,Incinération,2024-07-09,130.51,Partielle,Fût,Non,SafeWaste,Pharmacie
318,Hopital_36,Togo,Nord,Pharmaceutiques,249.63,41165.0,Moyen,Incinération,2023-12-16,229.68,Oui,Conteneur rigide,Non,CleanMed,Oncologie
647,Hopital_17,Côte d'Ivoire,Extrême-Nord,Piqûres/Coupures,249.63,55027.3,Élevé,Incinération,2024-01-20,240.36,Partielle,Carton DASRI,Non,SafeWaste,Chirurgie
397,Hopital_40,Togo,Sud,Pharmaceutiques,139.13,21722.05,Moyen,Incinération,2023-01-02,171.72,Partielle,Carton DASRI,Non,EcoTrans,Pharmacie
565,Hopital_4,Gabon,Ouest,Piqûres/Coupures,174.29,19073.38,Élevé,Autoclave,2024-08-16,25.46,En attente,Sac rouge,Non,Hopital Service,Urgences
323,Hopital_21,Cameroun,Nord,Pharmaceutiques,402.65,57352.22,Moyen,Incinération,2023-10-23,217.84,Partielle,Carton DASRI,Non,BioLogistics,Soins Palliatifs
497,Hopital_12,Gabon,Sud,Organiques,291.52,6076.18,Faible,Enfouissement,2024-08-01,21.16,,Conteneur rigide,Oui,BioLogistics,Restauration
578,Hopital_35,Sénégal,Centre,Pharmaceutiques,198.17,29773.01,Faible,Incinération,2024-06-01,48.48,Oui,Conteneur rigide,Non,CleanMed,Pharmacie
681,Hopital_26,Cameroun,Adamaoua,Piqûres/Coupures,464.68,50745.37,Élevé,Autoclave,2024-09-16,174.48,,Conteneur rigide,Non,CleanMed,Chirurgie
332,Hopital_12,Cameroun,Littoral,Piqûres/Coupures,249.63,51959.56,Élevé,Incinération,2023-07-18,130.51,Non,Fût,Non,EcoTrans,Chirurgie
238,Hopital_34,Gabon,Adamaoua,Infectieux,317.7,64720.13,Élevé,Incinération,2024-07-01,90.77,,Sac rouge,Non,,Urgences
160,Hopital_39,RDC,Est,Radioactifs,272.23,63375.5,Élevé,Incinération,2023-06-29,67.07,En attente,Carton DASRI,Non,SafeWaste,Radiologie
346,Hopital_33,Bénin,Sud-Ouest,Infectieux,249.63,28554.52,Élevé,Autoclave,2024-08-26,164.4,Partielle,Carton DASRI,Non,,Maladies Infectieuses
177,Hopital_44,RDC,Extrême-Nord,Chimiques,249.63,24801.99,Moyen,Désinfection chimique,2024-02-13,137.82,Non,Sac jaune,Non,Hopital Service,Laboratoire
246,Hopital_6,Gabon,Littoral,Radioactifs,249.63,58414.0,Élevé,Incinération,2023-11-17,11.29,Partielle,Carton DASRI,Non,SafeWaste,Radiologie
527,Hopital_32,Gabon,Nord,Pharmaceutiques,482.04,70678.15,Moyen,Incinération,2024-09-12,98.98,En attente,Conteneur rigide,Non,EcoTrans,Pharmacie
68,Hopital_42,Bénin,Ouest,Piqûres/Coupures,321.64,78499.45,Élevé,Incinération,2023-05-10,228.06,Partielle,Conteneur rigide,Non,BioLogistics,Chirurgie
306,Hopital_48,Sénégal,Ouest,Chimiques,56.38,5346.14,Moyen,Désinfection chimique,2024-05-20,224.67,En attente,Fût,Non,CleanMed,Laboratoire
582,Hopital_36,Togo,Littoral,Pharmaceutiques,114.65,15844.27,Moyen,Incinération,2023-01-22,116.91,En attente,Sac jaune,Non,,Pharmacie
698,Hopital_49,Gabon,Nord,Pharmaceutiques,36.82,5292.7,Moyen,Incinération,2024-02-05,196.35,,Sac rouge,Non,SafeWaste,Pharmacie
274,Hopital_35,RDC,Adamaoua,Infectieux,176.84,41910.26,Élevé,Incinération,2024-03-22,165.35,Oui,Sac jaune,Non,,Maladies Infectieuses
27,Hopital_22,RDC,Est,Piqûres/Coupures,361.31,44826.86,Élevé,Autoclave,2023-04-14,130.51,Oui,Sac rouge,Non,,Chirurgie
345,Hopital_30,Gabon,Sud,Pharmaceutiques,426.28,63349.26,Moyen,Incinération,2024-01-12,249.87,Oui,Carton DASRI,Non,BioLogistics,Pharmacie
380,Hopital_42,Cameroun,Sud-Ouest,Organiques,249.63,4780.04,Faible,Enfouissement,2024-10-25,184.87,Partielle,Fût,Non,BioLogistics,Restauration
467,Hopital_1,Bénin,Nord,Pharmaceutiques,61.16,8878.24,Faible,Incinération,2024-02-11,81.56,Oui,Sac rouge,Non,Hopital Service,Oncologie
639,Hopital_43,Sénégal,Littoral,Pharmaceutiques,478.77,70764.48,Moyen,Incinération,2023-01-24,239.26,Oui,Carton DASRI,Non,BioLogistics,Oncologie
10,Hopital_11,Bénin,Adamaoua,Chimiques,178.34,16821.08,Moyen,Désinfection chimique,2024-03-03,120.6,En attente,Sac rouge,Non,,Laboratoire
392,Hopital_27,Togo,Extrême-Nord,Radioactifs,127.94,28899.56,Élevé,Incinération,2023-01-30,76.66,Partielle,Conteneur rigide,Non,SafeWaste,Radiologie
662,Hopital_19,Gabon,Est,Pharmaceutiques,175.06,26863.63,Moyen,Incinération,2024-08-29,138.95,Oui,Sac jaune,Non,,Soins Palliatifs
92,Hopital_25,RDC,Extrême-Nord,Piqûres/Coupures,93.86,10705.97,Élevé,Autoclave,2024-12-24,137.99,Partielle,Sac rouge,Non,BioLogistics,Chirurgie
519,Hopital_45,Gabon,Ouest,Radioactifs,109.73,26815.71,Élevé,Incinération,2023-05-29,58.78,Partielle,Conteneur rigide,Non,SafeWaste,Oncologie
685,Hopital_45,Côte d'Ivoire,Sud,Piqûres/Coupures,238.74,48730.01,Élevé,Incinération,2024-11-28,29.48,Partielle,Carton DASRI,Non,CleanMed,Urgences
577,Hopital_24,Gabon,Extrême-Nord,Piqûres/Coupures,101.45,23687.99,Élevé,Incinération,2023-06-18,130.51,Partielle,Fût,Non,Hopital Service,Chirurgie
6,Hopital_21,Bénin,Littoral,Chimiques,249.63,24738.85,Moyen,Désinfection chimique,2023-07-19,219.83,Non,Fût,Non,CleanMed,Laboratoire
123,Hopital_33,Cameroun,Sud,Piqûres/Coupures,32.26,3801.52,Élevé,Autoclave,2024-12-02,50.51,En attente,Sac jaune,Non,EcoTrans,Urgences
455,Hopital_42,Côte d'Ivoire,Centre,Infectieux,178.03,42194.58,Élevé,Incinération,2024-07-19,249.29,Partielle,Fût,Non,Hopital Service,Maladies Infectieuses
251,Hopital_36,Bénin,Sud,Organiques,429.23,8003.56,Faible,Enfouissement,2023-01-19,178.06,Non,Sac jaune,Non,,Services Généraux
4,Hopital_43,Sénégal,Nord,Pharmaceutiques,400.24,55030.21,Moyen,Incinération,2024-08-23,240.7,Oui,Sac jaune,Oui,EcoTrans,Pharmacie
290,Hopital_19,RDC,Littoral,Piqûres/Coupures,347.38,70883.0,Élevé,Incinération,2023-10-14,36.76,En attente,Sac jaune,Non,CleanMed,Chirurgie
45,Hopital_4,Sénégal,Littoral,Radioactifs,302.14,65628.99,Élevé,Incinération,2023-05-03,165.67,,Carton DASRI,Non,BioLogistics,Radiologie
687,Hopital_50,Côte d'Ivoire,Ouest,Radioactifs,320.6,71611.87,Élevé,Incinération,2023-12-02,228.32,Oui,Carton DASRI,Non,EcoTrans,Radiologie
309,Hopital_25,Cameroun,Nord,Piqûres/Coupures,432.42,101490.95,Élevé,Incinération,2024-04-14,113.47,En attente,Conteneur rigide,Non,EcoTrans,Soins Intensifs
604,Hopital_22,RDC,Adamaoua,Infectieux,381.14,89025.67,Élevé,Incinération,2024-10-26,181.41,En attente,Sac rouge,Non,EcoTrans,Maladies Infectieuses
126,Hopital_24,Cameroun,Extrême-Nord,Pharmaceutiques,266.68,37370.46,Moyen,Incinération,2023-02-24,217.95,Oui,Fût,Non,SafeWaste,Pharmacie
368,Hopital_49,Bénin,Adamaoua,Organiques,259.21,4884.6,Faible,Enfouissement,2024-07-21,27.98,Non,Sac jaune,Non,Hopital Service,Restauration
441,Hopital_44,RDC,Ouest,Chimiques,26.52,2806.78,Moyen,Désinfection chimique,2024-10-04,142.34,Non,Conteneur rigide,Non,Hopital Service,Laboratoire
420,Hopital_12,Sénégal,Nord,Piqûres/Coupures,57.81,13197.79,Élevé,Incinération,2024-12-13,96.05,En attente,Sac rouge,Non,EcoTrans,Vaccination
227,Hopital_44,Sénégal,Extrême-Nord,Pharmaceutiques,249.63,39271.4,Moyen,Incinération,2024-04-23,130.51,,Conteneur rigide,Non,Hopital Service,Pharmacie
130,Hopital_40,Bénin,Centre,Pharmaceutiques,11.89,1869.15,Moyen,Incinération,2024-05-15,180.31,Oui,Fût,Non,EcoTrans,Oncologie
179,Hopital_20,Côte d'Ivoire,Est,Infectieux,130.05,16149.91,Élevé,Autoclave,2024-10-24,116.92,Partielle,Sac jaune,Non,,Chirurgie
528,Hopital_27,Togo,Ouest,Pharmaceutiques,192.72,26351.06,Moyen,Incinération,2023-09-12,83.11,Partielle,Carton DASRI,Non,SafeWaste,Oncologie
231,Hopital_32,Côte d'Ivoire,Extrême-Nord,Infectieux,249.63,59030.11,Élevé,Incinération,2024-04-24,210.82,Partielle,Sac rouge,Non,Hopital Service,Laboratoire
157,Hopital_30,Cameroun,Ouest,Piqûres/Coupures,361.68,54171.53,Faible,Incinération,2023-07-31,11.38,Non,Conteneur rigide,Non,BioLogistics,Soins Intensifs
414,Hopital_20,Bénin,Ouest,Radioactifs,256.82,59954.55,Élevé,Incinération,2024-10-09,152.21,Oui,Fût,Non,EcoTrans,Radiologie
21,Hopital_30,Sénégal,Sud,Piqûres/Coupures,75.3,16808.24,Élevé,Incinération,2024-07-09,232.03,,Sac jaune,Non,Hopital Service,Chirurgie
442,Hopital_5,Cameroun,Nord,Pharmaceutiques,129.55,19460.06,Moyen,Incinération,2024-04-24,57.61,Non,Fût,Non,EcoTrans,Pharmacie
452,Hopital_16,Sénégal,Nord,Radioactifs,375.84,83372.79,Élevé,Incinération,2024-09-22,168.06,Partielle,Fût,Non,CleanMed,Radiologie
29,Hopital_25,Bénin,Extrême-Nord,Piqûres/Coupures,249.63,59367.36,Élevé,Incinération,2023-01-21,130.51,Oui,Sac rouge,Non,CleanMed,Chirurgie
650,Hopital_46,Côte d'Ivoire,Ouest,Organiques,376.96,8322.86,Faible,Enfouissement,2023-05-26,109.08,En attente,Sac rouge,Non,CleanMed,Maternité
214,Hopital_49,Cameroun,Centre,Pharmaceutiques,79.82,11260.0,Moyen,Incinération,2024-08-10,84.92,Oui,Conteneur rigide,Non,SafeWaste,Oncologie
627,Hopital_23,Togo,Centre,Chimiques,463.26,44896.32,Moyen,Désinfection chimique,2024-01-03,161.04,Non,Sac jaune,Non,Hopital Service,Laboratoire
220,Hopital_23,Togo,Ouest,Pharmaceutiques,139.18,18859.94,Moyen,Incinération,2024-10-19,121.38,Partielle,Conteneur rigide,Non,CleanMed,Pharmacie
207,Hopital_49,Bénin,Ouest,Infectieux,396.63,48889.51,Élevé,Autoclave,2024-11-05,157.47,Partielle,Sac jaune,Non,,Urgences
149,Hopital_26,Cameroun,Extrême-Nord,Piqûres/Coupures,76.47,18378.44,Élevé,Incinération,2023-01-25,222.78,Partielle,Conteneur rigide,Non,SafeWaste,Urgences
282,Hopital_48,Bénin,Ouest,Pharmaceutiques,343.48,52133.56,Moyen,Incinération,2023-12-18,204.56,Oui,Carton DASRI,Non,Hopital Service,Pharmacie
371,Hopital_35,Gabon,Nord,Pharmaceutiques,217.86,35392.86,Moyen,Incinération,2023-07-25,245.58,En attente,Sac rouge,Non,SafeWaste,Pharmacie
315,Hopital_35,Cameroun,Centre,Infectieux,21.97,5057.72,Élevé,Incinération,2023-10-19,40.43,Non,Sac rouge,Non,EcoTrans,Urgences
165,Hopital_36,Sénégal,Sud-Ouest,Pharmaceutiques,472.9,71276.44,Moyen,Incinération,2024-09-02,14.73,En attente,Sac jaune,Non,,Pharmacie
127,Hopital_37,Gabon,Sud-Ouest,Piqûres/Coupures,206.14,46012.52,Élevé,Incinération,2024-02-17,223.68,,Carton DASRI,Non,SafeWaste,Urgences
626,Hopital_36,Sénégal,Adamaoua,Radioactifs,313.67,71487.14,Élevé,Incinération,2023-05-11,76.92,Non,Conteneur rigide,Non,CleanMed,Radiologie
389,Hopital_22,Sénégal,Sud-Ouest,Piqûres/Coupures,253.63,59371.72,Élevé,Incinération,2024-12-05,94.18,En attente,Sac jaune,Non,EcoTrans,Chirurgie
218,Hopital_2,Côte d'Ivoire,Centre,Chimiques,428.73,46582.82,Moyen,Désinfection chimique,2024-12-28,130.51,En attente,Carton DASRI,Non,CleanMed,Laboratoire
312,Hopital_46,Sénégal,Adamaoua,Chimiques,488.42,47111.62,Moyen,Désinfection chimique,2024-04-15,15.64,Partielle,Sac rouge,Non,BioLogistics,Laboratoire
259,Hopital_41,RDC,Extrême-Nord,Pharmaceutiques,179.54,28219.48,Moyen,Incinération,2023-11-03,191.35,En attente,Sac jaune,Non,EcoTrans,Pharmacie
228,Hopital_26,Bénin,Est,Chimiques,249.63,23965.46,Moyen,Désinfection chimique,2023-05-03,100.97,Oui,Conteneur rigide,Non,BioLogistics,Maintenance
353,Hopital_4,Gabon,Littoral,Radioactifs,18.3,4626.27,Élevé,Incinération,2023-03-08,222.96,Partielle,Fût,Non,SafeWaste,Oncologie
534,Hopital_33,Sénégal,Sud,Piqûres/Coupures,378.35,84537.65,Élevé,Incinération,2024-12-22,44.36,Oui,Fût,Non,SafeWaste,Chirurgie
331,Hopital_48,RDC,Est,Organiques,57.18,1130.32,Faible,Enfouissement,2023-03-03,19.4,Partielle,Sac jaune,Non,EcoTrans,Maternité
308,Hopital_35,Cameroun,Ouest,Piqûres/Coupures,230.72,50253.76,Élevé,Incinération,2024-01-01,204.56,Oui,Sac jaune,Non,Hopital Service,Chirurgie
373,Hopital_21,Togo,Adamaoua,Pharmaceutiques,301.36,43371.65,Moyen,Incinération,2023-10-03,244.95,Partielle,Carton DASRI,Non,EcoTrans,Oncologie
96,Hopital_15,Côte d'Ivoire,Ouest,Piqûres/Coupures,67.61,13831.92,Élevé,Incinération,2023-05-19,43.16,Oui,Carton DASRI,Non,BioLogistics,Chirurgie
403,Hopital_29,Togo,Adamaoua,Piqûres/Coupures,141.06,15871.08,Élevé,Autoclave,2024-06-22,54.47,Partielle,Conteneur rigide,Non,EcoTrans,Urgences
593,Hopital_13,Togo,Littoral,Organiques,438.67,8079.76,Faible,Enfouissement,2024-04-23,130.51,Oui,Sac rouge,Non,BioLogistics,Restauration
348,Hopital_47,Cameroun,Adamaoua,Piqûres/Coupures,446.26,49787.05,Élevé,Autoclave,2024-05-11,133.01,Partielle,Sac jaune,Non,SafeWaste,Soins Intensifs
469,Hopital_47,Bénin,Adamaoua,Infectieux,34.16,8259.56,Élevé,Incinération,2023-07-20,210.76,Oui,Fût,Non,EcoTrans,Maladies Infectieuses
364,Hopital_41,RDC,Est,Organiques,334.93,6568.1,Faible,Enfouissement,2023-08-16,221.84,Non,Carton DASRI,Non,BioLogistics,Restauration
236,Hopital_24,Sénégal,Est,Radioactifs,492.07,114869.61,Élevé,Incinération,2024-01-24,184.99,Non,Sac jaune,Non,EcoTrans,Radiologie
489,Hopital_14,RDC,Ouest,Piqûres/Coupures,394.7,86062.75,Élevé,Incinération,2024-08-03,100.03,,Fût,Non,SafeWaste,Soins Intensifs
664,Hopital_48,Togo,Sud-Ouest,Organiques,404.31,8146.82,Faible,Enfouissement,2024-04-03,201.36,Partielle,Fût,Non,CleanMed,Restauration
244,Hopital_33,Togo,Nord,Infectieux,280.32,30655.34,Élevé,Autoclave,2023-09-22,91.3,En attente,Fût,Non,CleanMed,Maladies Infectieuses
95,Hopital_29,Côte d'Ivoire,Littoral,Chimiques,242.0,24248.68,Moyen,Désinfection chimique,2024-07-15,130.51,Partielle,Sac rouge,Non,CleanMed,Oncologie
432,Hopital_49,Cameroun,Extrême-Nord,Organiques,453.9,9661.3,Faible,Enfouissement,2024-03-08,205.08,Oui,Sac jaune,Non,SafeWaste,Restauration
221,Hopital_37,Togo,Est,Chimiques,491.78,53088.06,Moyen,Désinfection chimique,2024-05-11,82.7,,Sac rouge,Non,EcoTrans,Maintenance
339,Hopital_45,Togo,Ouest,Pharmaceutiques,299.58,46969.23,Moyen,Incinération,2024-10-24,42.56,En attente,Fût,Non,,Soins Palliatifs
700,Hopital_33,RDC,Est,Radioactifs,121.72,29287.28,Élevé,Incinération,2024-10-20,82.03,Partielle,Conteneur rigide,Oui,,Oncologie
357,Hopital_44,Côte d'Ivoire,Sud,Radioactifs,261.2,56048.15,Élevé,Incinération,2024-12-09,35.49,Oui,Carton DASRI,Non,Hopital Service,Oncologie
341,Hopital_27,Sénégal,Est,Pharmaceutiques,150.66,23362.99,Moyen,Incinération,2023-10-22,90.6,Non,Sac jaune,Non,,Oncologie
569,Hopital_29,RDC,Extrême-Nord,Piqûres/Coupures,313.49,67473.66,Élevé,Incinération,2023-08-10,154.26,Non,Carton DASRI,Non,BioLogistics,Soins Intensifs
399,Hopital_9,Togo,Ouest,Chimiques,166.34,17073.27,Moyen,Désinfection chimique,2023-07-01,124.3,Non,Conteneur rigide,Non,SafeWaste,Oncologie
379,Hopital_25,Gabon,Centre,Radioactifs,351.61,55814.15,Moyen,Incinération,2023-01-11,60.02,En attente,Fût,Non,Hopital Service,Radiologie
99,Hopital_25,Cameroun,Sud,Piqûres/Coupures,248.73,57401.91,Élevé,Incinération,2023-06-07,13.86,Partielle,Carton DASRI,Non,CleanMed,Chirurgie
253,Hopital_26,Cameroun,Est,Infectieux,270.86,59282.88,Élevé,Incinération,2023-03-12,91.23,En attente,Carton DASRI,Non,EcoTrans,Urgences
9,Hopital_23,RDC,Nord,Organiques,94.82,1787.2,Faible,Enfouissement,2024-06-15,130.51,Non,Sac rouge,Non,CleanMed,Restauration
204,Hopital_24,Gabon,Sud,Infectieux,102.68,11467.12,Élevé,Autoclave,2024-09-01,66.42,,Carton DASRI,Non,CleanMed,Urgences
552,Hopital_50,Sénégal,Sud,Chimiques,277.3,28432.94,Moyen,Désinfection chimique,2024-02-01,88.12,En attente,Fût,Non,Hopital Service,Laboratoire
155,Hopital_32,Côte d'Ivoire,Nord,Piqûres/Coupures,58.27,6475.17,Élevé,Autoclave,2024-04-18,155.1,En attente,Conteneur rigide,Non,Hopital Service,Urgences
20,Hopital_44,Cameroun,Extrême-Nord,Organiques,164.14,3153.1,Faible,Enfouissement,2024-08-23,15.39,Oui,Sac rouge,Non,CleanMed,Restauration
116,Hopital_41,RDC,Centre,Radioactifs,136.7,33111.59,Élevé,Incinération,2023-08-23,24.06,Non,Sac rouge,Non,Hopital Service,Radiologie
324,Hopital_48,Bénin,Sud-Ouest,Radioactifs,9.99,2369.85,Élevé,Incinération,2023-05-26,203.58,Partielle,Sac rouge,Non,,Oncologie
